,id_diet,tipe_diet,tipe_masakan,resep_masakan,kadar_protein,kadar_karbo,kadar_lemak,fitur_tfidf,segmentasi_kadar_protein,segmentasi_kadar_karbo,segmentasi_kadar_lemak
5738,3232,mediterranean,mediterranean,Mediterranean Baked Peppers,12.17,32.61,20.58,mediterranean Mediterranean Baked Peppers mediterranean,0,2,0
5739,3233,mediterranean,mediterranean,Mediterranean Eggplant Dip,12.78,82.05,56.22,mediterranean Mediterranean Eggplant Dip mediterranean,0,3,2
5741,3234,mediterranean,mediterranean,Mediterranean Bread Salad,35.72,179.17,101.63,mediterranean Mediterranean Bread Salad mediterranean,2,1,3
5746,3235,mediterranean,mediterranean,Mediterranean Bruschetta (Dip),27.21,97.8,57.11,mediterranean Mediterranean Bruschetta (Dip) mediterranean,2,3,2
5747,3236,mediterranean,mediterranean,Mediterranean Chicken Bake,171.72,219.81,97.27,mediterranean Mediterranean Chicken Bake mediterranean,1,1,3
5748,3237,mediterranean,mediterranean,Mediterranean Zucchini Salad,24.04,47.78,21.2,mediterranean Mediterranean Zucchini Salad mediterranean,2,2,0
5749,3238,mediterranean,mediterranean,Mediterranean Rice Bowl,45.76,236.0,82.43,mediterranean Mediterranean Rice Bowl mediterranean,3,1,3
5752,3239,mediterranean,mediterranean,Mediterranean Marinated Cheese,16.14,28.33,141.54,mediterranean Mediterranean Marinated Cheese mediterranean,0,0,1
5754,3240,mediterranean,mediterranean,Mediterranean Layered Dip,31.71,94.69,73.45,mediterranean Mediterranean Layered Dip mediterranean,2,3,3
5755,3241,mediterranean,mediterranean,Mediterranean Braised Cucumbers,23.12,44.4,65.52,mediterranean Mediterranean Braised Cucumbers mediterranean,2,2,2
5756,3242,mediterranean,mediterranean,Layered Mediterranean Pie,134.27,280.41,221.68,mediterranean Layered Mediterranean Pie mediterranean,1,1,1
5757,3243,mediterranean,mediterranean,Mediterranean Tapas Potatoes,11.57,85.65,60.96,mediterranean Mediterranean Tapas Potatoes mediterranean,0,3,2
5758,3244,mediterranean,mediterranean,Mediterranean Egg Muffins,69.61,78.68,42.98,mediterranean Mediterranean Egg Muffins mediterranean,3,3,2
5759,3245,mediterranean,mediterranean,Stuffed Mediterranean Meatballs,136.78,107.33,143.7,mediterranean Stuffed Mediterranean Meatballs mediterranean,1,3,1
5761,3246,mediterranean,mediterranean,Nutrition – Mediterranean Hummus,98.78,301.25,97.85,mediterranean Nutrition – Mediterranean Hummus mediterranean,1,1,3
5765,3247,mediterranean,mediterranean,Mediterranean Bean Dip,30.22,84.53,55.66,mediterranean Mediterranean Bean Dip mediterranean,2,3,2
5767,3248,mediterranean,mediterranean,Mediterranean Caesar Salad,44.68,194.48,112.39,mediterranean Mediterranean Caesar Salad mediterranean,3,1,3
5789,3249,mediterranean,mediterranean,Mediterranean Tilapia Recipes,49.36,11.93,6.35,mediterranean Mediterranean Tilapia Recipes mediterranean,3,0,0
5790,3250,mediterranean,mediterranean,Mediterranean Sardine Dish,109.58,40.75,44.44,mediterranean Mediterranean Sardine Dish mediterranean,1,2,2
5792,3251,mediterranean,mediterranean,Mediterranean Bagel Snacks,45.15,114.29,9.79,mediterranean Mediterranean Bagel Snacks mediterranean,3,3,0
5796,3252,mediterranean,mediterranean,Mediterranean Cheese Spread,23.21,18.59,92.69,mediterranean Mediterranean Cheese Spread mediterranean,2,0,3
5797,3253,mediterranean,mediterranean,Grilled Mediterranean Chicken,130.0,17.89,28.89,mediterranean Grilled Mediterranean Chicken mediterranean,1,0,0
5801,3254,mediterranean,mediterranean,Mediterranean Tuna Cups,94.14,50.34,15.1,mediterranean Mediterranean Tuna Cups mediterranean,1,2,0
5802,3255,mediterranean,mediterranean,Mediterranean Veggie Wrap,20.52,60.14,24.79,mediterranean Mediterranean Veggie Wrap mediterranean,2,2,0
5803,3256,mediterranean,mediterranean,Mediterranean Tuna Linguine,93.42,234.27,27.0,mediterranean Mediterranean Tuna Linguine mediterranean,1,1,0
5804,3257,mediterranean,mediterranean,Mediterranean Bulgur Wheat,46.67,190.01,22.49,mediterranean Mediterranean Bulgur Wheat mediterranean,3,1,0
5805,3258,mediterranean,mediterranean,Mediterranean Pasta Recipes,151.81,210.45,101.45,mediterranean Mediterranean Pasta Recipes mediterranean,1,1,3
5807,3259,mediterranean,mediterranean,Mediterranean Broccoflower Salad,17.15,86.23,32.71,mediterranean Mediterranean Broccoflower Salad mediterranean,0,3,2
5811,3260,mediterranean,mediterranean,Mediterranean Chicken Marinade,1.71,13.79,55.0,mediterranean Mediterranean Chicken Marinade mediterranean,0,0,2
5813,3261,mediterranean,mediterranean,Mediterranean Tuna Pasta,81.25,202.44,55.02,mediterranean Mediterranean Tuna Pasta mediterranean,3,1,2
5815,3262,mediterranean,mediterranean,Mediterranean Avocado Dip,40.33,86.13,97.19,mediterranean Mediterranean Avocado Dip mediterranean,2,3,3
5816,3263,mediterranean,mediterranean,Marinated Mediterranean Steaks,42.01,39.21,164.32,mediterranean Marinated Mediterranean Steaks mediterranean,3,2,1
5817,3264,mediterranean,mediterranean,Mediterranean Fish Marinade,4.25,26.14,56.76,mediterranean Mediterranean Fish Marinade mediterranean,0,0,2
5819,3265,mediterranean,mediterranean,Mediterranean Medley Salad,20.93,56.59,44.63,mediterranean Mediterranean Medley Salad mediterranean,2,2,2
5821,3266,mediterranean,mediterranean,Mediterranean Hummus Bites,52.13,142.15,53.65,mediterranean Mediterranean Hummus Bites mediterranean,3,3,2
5828,3267,mediterranean,mediterranean,Mediterranean Salad Recipes,27.65,69.18,64.67,mediterranean Mediterranean Salad Recipes mediterranean,2,2,2
5829,3268,mediterranean,mediterranean,Mediterranean Quinoa — Steemit,78.17,338.55,51.33,mediterranean Mediterranean Quinoa — Steemit mediterranean,3,1,2
5831,3269,mediterranean,mediterranean,Mediterranean Macaroni Salad,42.82,186.66,112.92,mediterranean Mediterranean Macaroni Salad mediterranean,3,1,3
5833,3270,mediterranean,mediterranean,Mediterranean Rice Pilaf,29.19,178.41,51.61,mediterranean Mediterranean Rice Pilaf mediterranean,2,1,2
5834,3271,mediterranean,mediterranean,Mediterranean Capsicum Rolls,24.69,72.29,104.29,mediterranean Mediterranean Capsicum Rolls mediterranean,2,2,3
5835,3272,mediterranean,mediterranean,Mediterranean Fried Rice,30.3,98.92,60.28,mediterranean Mediterranean Fried Rice mediterranean,2,3,2
5842,3273,mediterranean,mediterranean,Easy Mediterranean Chicken,130.73,12.48,33.59,mediterranean Easy Mediterranean Chicken mediterranean,1,0,2
5845,3274,mediterranean,mediterranean,Mediterranean Potatoes Recipes,42.19,232.08,74.11,mediterranean Mediterranean Potatoes Recipes mediterranean,3,1,3
5849,3275,mediterranean,mediterranean,Mediterranean Vegetarian Bites,86.94,17.12,97.85,mediterranean Mediterranean Vegetarian Bites mediterranean,1,0,3
5851,3276,mediterranean,mediterranean,Chicken Mediterranean Recipes,76.68,104.36,49.95,mediterranean Chicken Mediterranean Recipes mediterranean,3,3,2
5852,3277,mediterranean,mediterranean,Mediterranean Mussel Salad,52.19,286.24,77.77,mediterranean Mediterranean Mussel Salad mediterranean,3,1,3
5855,3278,mediterranean,mediterranean,Mediterranean Avocado Toast,17.06,48.92,39.44,mediterranean Mediterranean Avocado Toast mediterranean,0,2,2
5856,3279,mediterranean,mediterranean,Mediterranean Vegie Cakes,43.86,127.06,33.68,mediterranean Mediterranean Vegie Cakes mediterranean,3,3,2
5859,3280,mediterranean,mediterranean,Mediterranean Mashed Potatoes,20.33,164.14,55.36,mediterranean Mediterranean Mashed Potatoes mediterranean,2,3,2
5861,3281,mediterranean,mediterranean,Mediterranean Cauliflower Salad,38.39,113.01,40.4,mediterranean Mediterranean Cauliflower Salad mediterranean,2,3,2
5862,3282,mediterranean,mediterranean,Mediterranean Pasta Frittata,96.39,126.2,90.21,mediterranean Mediterranean Pasta Frittata mediterranean,1,3,3
5865,3283,mediterranean,mediterranean,Mediterranean Baked Fish,100.07,36.49,52.77,mediterranean Mediterranean Baked Fish mediterranean,1,2,2
5866,3284,mediterranean,mediterranean,Mediterranean Filled Loaf,80.75,244.13,68.82,mediterranean Mediterranean Filled Loaf mediterranean,3,1,3
5867,3285,mediterranean,mediterranean,Mediterranean Feta Dip,25.25,15.49,80.5,mediterranean Mediterranean Feta Dip mediterranean,2,0,3
5868,3286,mediterranean,mediterranean,Mediterranean Roasted Fingerlings,32.81,191.19,45.05,mediterranean Mediterranean Roasted Fingerlings mediterranean,2,1,2
5869,3287,mediterranean,mediterranean,Mediterranean Garden Salad,15.46,41.16,55.98,mediterranean Mediterranean Garden Salad mediterranean,0,2,2
5870,3288,mediterranean,mediterranean,Mediterranean Spinach Pie,62.45,53.28,75.4,mediterranean Mediterranean Spinach Pie mediterranean,3,2,3
5871,3289,mediterranean,mediterranean,Mediterranean Cauliflower Steaks,41.47,81.91,45.07,mediterranean Mediterranean Cauliflower Steaks mediterranean,3,3,2
5872,3290,mediterranean,mediterranean,Mediterranean Peasant Soup,23.25,72.91,8.86,mediterranean Mediterranean Peasant Soup mediterranean,2,2,0
5873,3291,mediterranean,mediterranean,Mediterranean Veggie Tart,74.04,250.85,236.13,mediterranean Mediterranean Veggie Tart mediterranean,3,1,1
5874,3292,mediterranean,mediterranean,Mediterranean Mozza-Chicken,163.5,37.93,100.69,mediterranean Mediterranean Mozza-Chicken mediterranean,1,2,3
5875,3293,mediterranean,mediterranean,Mediterranean Roasted Cauliflower,18.89,27.15,37.67,mediterranean Mediterranean Roasted Cauliflower mediterranean,2,0,2
5876,3294,mediterranean,mediterranean,Mediterranean Fish Bake,145.21,124.45,38.28,mediterranean Mediterranean Fish Bake mediterranean,1,3,2
5879,3295,mediterranean,mediterranean,Mediterranean Layer Dip,63.35,234.24,79.27,mediterranean Mediterranean Layer Dip mediterranean,3,1,3
5880,3296,mediterranean,mediterranean,Mediterranean Egg Salad,67.0,39.79,50.55,mediterranean Mediterranean Egg Salad mediterranean,3,2,2
5881,3297,mediterranean,mediterranean,Mediterranean Marinated Chicken,103.28,5.78,84.19,mediterranean Mediterranean Marinated Chicken mediterranean,1,0,3
5885,3298,mediterranean,mediterranean,Mediterranean Eggs Paleo,12.24,9.38,23.7,mediterranean Mediterranean Eggs Paleo mediterranean,0,0,0
5894,3299,mediterranean,mediterranean,Mediterranean Pita Triangles,23.21,87.56,22.26,mediterranean Mediterranean Pita Triangles mediterranean,2,3,0
5900,3300,mediterranean,mediterranean,Mediterranean Pork Medallions,130.01,325.07,130.98,mediterranean Mediterranean Pork Medallions mediterranean,1,1,1
5902,3301,mediterranean,mediterranean,Mediterranean Watermelon Salsa,22.44,74.32,37.82,mediterranean Mediterranean Watermelon Salsa mediterranean,2,2,2
5909,3302,mediterranean,mediterranean,Mediterranean Breakfast Wrap,18.12,34.75,12.27,mediterranean Mediterranean Breakfast Wrap mediterranean,2,2,0
5910,3303,mediterranean,mediterranean,Mediterranean Chicken Casserole,103.02,75.06,46.85,mediterranean Mediterranean Chicken Casserole mediterranean,1,2,2
5925,3304,mediterranean,mediterranean,Mediterranean-Style Prawns,151.49,92.26,50.03,mediterranean Mediterranean-Style Prawns mediterranean,1,3,2
5926,3305,mediterranean,mediterranean,Mediterranean Vegetable Broth,0.44,3.1,1.16,mediterranean Mediterranean Vegetable Broth mediterranean,0,0,0
5928,3306,mediterranean,mediterranean,Mediterranean Cauliflower Couscous,27.41,72.07,63.71,mediterranean Mediterranean Cauliflower Couscous mediterranean,2,2,2
5931,3307,mediterranean,mediterranean,Mediterranean-Style Onions,9.76,135.61,28.19,mediterranean Mediterranean-Style Onions mediterranean,0,3,0
5932,3308,mediterranean,mediterranean,Mediterranean Style Couscous,48.27,202.1,44.22,mediterranean Mediterranean Style Couscous mediterranean,3,1,2
5935,3309,mediterranean,mediterranean,Flounder Mediterranean Recipes,69.04,17.28,51.6,mediterranean Flounder Mediterranean Recipes mediterranean,3,0,2
5936,3310,mediterranean,mediterranean,Mediterranean Quinoa Patties,56.32,231.83,11.15,mediterranean Mediterranean Quinoa Patties mediterranean,3,1,0
5940,3311,mediterranean,mediterranean,Mediterranean Rice Salad,19.36,189.03,56.95,mediterranean Mediterranean Rice Salad mediterranean,2,1,2
5943,3312,mediterranean,mediterranean,Mediterranean Bean Patties,27.53,257.47,9.55,mediterranean Mediterranean Bean Patties mediterranean,2,1,0
5944,3313,mediterranean,mediterranean,Mediterranean Calamari Stew,86.38,95.3,40.58,mediterranean Mediterranean Calamari Stew mediterranean,1,3,2
5946,3314,mediterranean,mediterranean,Mediterranean Stuffed Mushrooms,40.79,48.42,81.02,mediterranean Mediterranean Stuffed Mushrooms mediterranean,2,2,3
5950,3315,mediterranean,mediterranean,Healthy Mediterranean Cooking,84.44,215.58,96.75,mediterranean Healthy Mediterranean Cooking mediterranean,1,1,3
5951,3316,mediterranean,mediterranean,Mediterranean Chickpea Guacamole,71.54,236.41,77.58,mediterranean Mediterranean Chickpea Guacamole mediterranean,3,1,3
5954,3317,mediterranean,mediterranean,Speedy Mediterranean Chicken,138.74,133.68,129.21,mediterranean Speedy Mediterranean Chicken mediterranean,1,3,1
5962,3318,mediterranean,mediterranean,Mediterranean Bulgur Salad,48.49,210.31,40.92,mediterranean Mediterranean Bulgur Salad mediterranean,3,1,2
5970,3319,mediterranean,mediterranean,Mediterranean Chicken Drumsticks,98.55,20.63,103.39,mediterranean Mediterranean Chicken Drumsticks mediterranean,1,0,3
5972,3320,mediterranean,mediterranean,Mediterranean Chickpea Wrap,13.99,106.7,31.26,mediterranean Mediterranean Chickpea Wrap mediterranean,0,3,0
5975,3321,mediterranean,mediterranean,Mediterranean Grilled Artichokes,24.84,52.46,198.55,mediterranean Mediterranean Grilled Artichokes mediterranean,2,2,1
5976,3322,mediterranean,mediterranean,Roasted Mediterranean Cauliflower,36.65,119.52,90.97,mediterranean Roasted Mediterranean Cauliflower mediterranean,2,3,3
5979,3323,mediterranean,mediterranean,Mediterranean Shrimp Recipes,97.71,29.56,33.95,mediterranean Mediterranean Shrimp Recipes mediterranean,1,0,2
5980,3324,mediterranean,mediterranean,Mediterranean Grilled Veggies,27.55,151.75,75.31,mediterranean Mediterranean Grilled Veggies mediterranean,2,3,3
5985,3325,mediterranean,mediterranean,Mediterranean Chicken Stacks,154.81,64.44,131.11,mediterranean Mediterranean Chicken Stacks mediterranean,1,2,1
5987,3326,mediterranean,mediterranean,Mediterranean Inspired Shrimp,55.43,15.4,115.03,mediterranean Mediterranean Inspired Shrimp mediterranean,3,0,3
5990,3327,mediterranean,mediterranean,Mediterranean Melt Recipes,100.94,320.71,125.91,mediterranean Mediterranean Melt Recipes mediterranean,1,1,1
5992,3328,mediterranean,mediterranean,Mediterranean-Style Sandwiches,68.58,128.32,100.43,mediterranean Mediterranean-Style Sandwiches mediterranean,3,3,3
5998,3329,mediterranean,mediterranean,Mediterranean Spaghetti Squash,17.52,57.97,53.3,mediterranean Mediterranean Spaghetti Squash mediterranean,2,2,2
6005,3330,mediterranean,mediterranean,Quick Mediterranean Chicken,126.34,39.98,77.67,mediterranean Quick Mediterranean Chicken mediterranean,1,2,3
6006,3331,mediterranean,mediterranean,Mediterranean Summer Pasta,24.86,143.12,30.54,mediterranean Mediterranean Summer Pasta mediterranean,2,3,0
6008,3332,mediterranean,mediterranean,Mediterranean Chicken Kabobs,158.27,40.29,100.87,mediterranean Mediterranean Chicken Kabobs mediterranean,1,2,3
6010,3333,mediterranean,mediterranean,Mediterranean Roast Peppers,24.63,55.06,64.83,mediterranean Mediterranean Roast Peppers mediterranean,2,2,2
6014,3334,mediterranean,mediterranean,Greek Pasta Salad Recipes,85.26,372.58,115.38,mediterranean Greek Pasta Salad Recipes mediterranean,1,1,3
6019,3335,mediterranean,mediterranean,Mediterranean Quinoa Recipes,40.07,137.12,41.06,mediterranean Mediterranean Quinoa Recipes mediterranean,2,3,2
6021,3336,mediterranean,mediterranean,Mediterranean Skillet Chicken,155.19,27.48,86.89,mediterranean Mediterranean Skillet Chicken mediterranean,1,0,3
6026,3337,mediterranean,mediterranean,Baked Mediterranean Tilapia,110.34,127.93,68.38,mediterranean Baked Mediterranean Tilapia mediterranean,1,3,3
6027,3338,mediterranean,mediterranean,The Mediterranean Pasta Salad,56.57,239.05,89.2,mediterranean The Mediterranean Pasta Salad mediterranean,3,1,3
6031,3339,mediterranean,mediterranean,Mediterranean Veggie Saute,7.15,32.31,10.82,mediterranean Mediterranean Veggie Saute mediterranean,0,2,0
6036,3340,mediterranean,mediterranean,Mediterranean Cheese Strata,97.62,128.44,84.26,mediterranean Mediterranean Cheese Strata mediterranean,1,3,3
6037,3341,mediterranean,mediterranean,Mediterranean-Style Mushrooms,9.3,18.75,28.35,mediterranean Mediterranean-Style Mushrooms mediterranean,0,0,0
6039,3342,mediterranean,mediterranean,Mediterranean Spring Salad,39.45,79.5,29.97,mediterranean Mediterranean Spring Salad mediterranean,2,3,0
6040,3343,mediterranean,mediterranean,Mediterranean Herbed Rice,22.45,167.61,16.09,mediterranean Mediterranean Herbed Rice mediterranean,2,1,0
4335,3344,mediterranean,mexican,Homemade Labneh,25.18,12.46,59.23,mediterranean Homemade Labneh mexican,2,0,2
4424,3345,mediterranean,mexican,Mediterranean Quesadillas Recipes,35.9,36.23,36.47,mediterranean Mediterranean Quesadillas Recipes mexican,2,2,2
4876,3346,mediterranean,mexican,Warm Quinoa Salad,73.78,249.0,37.79,mediterranean Warm Quinoa Salad mexican,3,1,2
4956,3347,mediterranean,mexican,Fresh Athenos® Salsa,41.67,55.89,91.17,mediterranean Fresh Athenos® Salsa mexican,3,2,3
4964,3348,mediterranean,mexican,North African Vegetable Stew With Poached Eggs,80.33,196.54,47.17,mediterranean North African Vegetable Stew With Poached Eggs mexican,3,1,2
4997,3349,mediterranean,mexican,Pita Chip Nachos,134.26,154.66,68.87,mediterranean Pita Chip Nachos mexican,1,3,3
5001,3350,mediterranean,mexican,Mexican Roasted Corn Salad With Buttermilk Dressing,40.09,145.0,37.25,mediterranean Mexican Roasted Corn Salad With Buttermilk Dressing mexican,2,3,2
5342,3351,mediterranean,mexican,Mediterranean Quesadillas,130.34,128.61,162.46,mediterranean Mediterranean Quesadillas mexican,1,3,1
5367,3352,mediterranean,mexican,Mediterranean Quesadilla,85.99,106.14,113.46,mediterranean Mediterranean Quesadilla mexican,1,3,3
5586,3353,mediterranean,mexican,Mediterranean Style Quesadilla,1.8,6.98,0.31,mediterranean Mediterranean Style Quesadilla mexican,0,0,0
5782,3354,mediterranean,mexican,Baked Mediterranean Quesadillas,171.37,266.83,201.51,mediterranean Baked Mediterranean Quesadillas mexican,1,1,1
5786,3355,mediterranean,mexican,Grilled Mediterranean Quesadillas,103.18,225.17,110.42,mediterranean Grilled Mediterranean Quesadillas mexican,1,1,3
4379,3356,mediterranean,middle eastern,Mediterranean Tabbouleh,27.05,120.15,46.85,mediterranean Mediterranean Tabbouleh middle eastern,2,3,2
4563,3357,mediterranean,middle eastern,Stuffed Roasted Bell Peppers (Poivrons Farcis),33.96,33.52,63.65,mediterranean Stuffed Roasted Bell Peppers (Poivrons Farcis) middle eastern,2,2,2
4846,3358,mediterranean,middle eastern,Cook The Book: Turkish Yogurt Soup With Mint,105.69,131.7,55.13,mediterranean Cook The Book: Turkish Yogurt Soup With Mint middle eastern,1,3,2
4863,3359,mediterranean,middle eastern,Eggplant Dip (Baba Ghanoush),29.02,110.85,79.73,mediterranean Eggplant Dip (Baba Ghanoush) middle eastern,2,3,3
4872,3360,mediterranean,middle eastern,Tomato And Cucumber Couscous,24.2,112.28,10.19,mediterranean Tomato And Cucumber Couscous middle eastern,2,3,0
4883,3361,mediterranean,middle eastern,Spinach Tabbouleh,24.7,97.07,57.77,mediterranean Spinach Tabbouleh middle eastern,2,3,2
4913,3362,mediterranean,middle eastern,Lemon And Mint Seafood Skewers With Tabbouleh,132.09,144.52,19.92,mediterranean Lemon And Mint Seafood Skewers With Tabbouleh middle eastern,1,3,0
4920,3363,mediterranean,middle eastern,Lentil Stew With Spinach And Potatoes,60.81,189.87,30.64,mediterranean Lentil Stew With Spinach And Potatoes middle eastern,3,1,0
4926,3364,mediterranean,middle eastern,Grilled Lamb Meatballs,84.91,25.57,138.48,mediterranean Grilled Lamb Meatballs middle eastern,1,0,1
4938,3365,mediterranean,middle eastern,Moroccan Ratatouille,28.14,151.73,41.51,mediterranean Moroccan Ratatouille middle eastern,2,3,2
4982,3366,mediterranean,middle eastern,Turkish Meat Bread,59.02,186.01,62.86,mediterranean Turkish Meat Bread middle eastern,3,1,2
4995,3367,mediterranean,middle eastern,Tomato Dolma With Roasted Eggplant (Köz Patlicanli Domates Dolmasi),107.48,149.43,123.96,mediterranean Tomato Dolma With Roasted Eggplant (Köz Patlicanli Domates Dolmasi) middle eastern,1,3,1
5013,3368,mediterranean,middle eastern,Yogurt-Marinated Lamb Kebabs,91.02,277.49,64.45,mediterranean Yogurt-Marinated Lamb Kebabs middle eastern,1,1,2
5064,3369,mediterranean,middle eastern,Slow-Cooker Turkish Lamb & Vegetable Stew,152.35,165.11,122.58,mediterranean Slow-Cooker Turkish Lamb & Vegetable Stew middle eastern,1,1,1
5085,3370,mediterranean,middle eastern,Stuffed Red Bell Peppers,127.0,151.18,150.93,mediterranean Stuffed Red Bell Peppers middle eastern,1,3,1
5093,3371,mediterranean,middle eastern,Ancient Arabic Coffee Shows Guests You Think They’Re Worth It,1.64,10.27,0.2,mediterranean Ancient Arabic Coffee Shows Guests You Think They’Re Worth It middle eastern,0,0,0
5097,3372,mediterranean,middle eastern,Sea Bass Crusted With Moroccan Spices,129.58,20.8,30.88,mediterranean Sea Bass Crusted With Moroccan Spices middle eastern,1,0,0
5122,3373,mediterranean,middle eastern,Beef And Vegetable Shish Kebabs Recipe,168.59,57.28,183.82,mediterranean Beef And Vegetable Shish Kebabs Recipe middle eastern,1,2,1
5168,3374,mediterranean,middle eastern,"Casserole Of Lentils, Eggplant, And Mint",49.8,189.68,77.8,"mediterranean Casserole Of Lentils, Eggplant, And Mint middle eastern",3,1,3
5260,3375,mediterranean,middle eastern,Israeli Couscous Salad With Mediterranean Roasted Vegetables Recipes,55.29,259.84,175.55,mediterranean Israeli Couscous Salad With Mediterranean Roasted Vegetables Recipes middle eastern,3,1,1
4392,3376,mediterranean,nordic,Mediterranean Salmon Skewers,94.73,17.42,69.99,mediterranean Mediterranean Salmon Skewers nordic,1,0,3
4479,3377,mediterranean,nordic,Mediterranean Salmon Spread,42.54,28.04,12.41,mediterranean Mediterranean Salmon Spread nordic,3,0,0
4629,3378,mediterranean,nordic,Mediterranean Salmon En Papillote,62.61,22.08,52.67,mediterranean Mediterranean Salmon En Papillote nordic,3,0,2
4634,3379,mediterranean,nordic,Mediterranean Salmon Cooked In Parchment,96.98,37.39,72.95,mediterranean Mediterranean Salmon Cooked In Parchment nordic,1,2,3
4656,3380,mediterranean,nordic,Grilled Salmon With Mediterranean Salsa,101.94,9.54,100.76,mediterranean Grilled Salmon With Mediterranean Salsa nordic,1,0,3
4670,3381,mediterranean,nordic,Fresh City Mediterranean Salmon Spaghetti,161.71,368.53,79.63,mediterranean Fresh City Mediterranean Salmon Spaghetti nordic,1,1,3
4708,3382,mediterranean,nordic,Mediterranean Salmon Cooked In Parchment Recipes,99.21,50.53,75.7,mediterranean Mediterranean Salmon Cooked In Parchment Recipes nordic,1,2,3
4889,3383,mediterranean,nordic,Mini Lamb Burgers With Pineapple Salsa,124.59,154.6,157.35,mediterranean Mini Lamb Burgers With Pineapple Salsa nordic,1,3,1
4907,3384,mediterranean,nordic,"Balsamic-Glazed Salmon With Spinach, Olives, And Golden Raisins",76.13,94.2,72.1,"mediterranean Balsamic-Glazed Salmon With Spinach, Olives, And Golden Raisins nordic",3,3,3
4948,3385,mediterranean,nordic,Salmon With Roasted Red Pepper Quinoa Salad,139.98,98.53,138.01,mediterranean Salmon With Roasted Red Pepper Quinoa Salad nordic,1,3,1
5078,3386,mediterranean,nordic,Greek Salmon Salad,13.44,99.69,22.25,mediterranean Greek Salmon Salad nordic,0,3,0
5094,3387,mediterranean,nordic,Lemon-Herb Salmon With Caponata & Farro,152.24,158.87,79.49,mediterranean Lemon-Herb Salmon With Caponata & Farro nordic,1,3,3
5127,3388,mediterranean,nordic,Salmon And Potatoes Roasted On Fig Leaves With Fresh Fig Salad,175.17,163.48,189.39,mediterranean Salmon And Potatoes Roasted On Fig Leaves With Fresh Fig Salad nordic,1,3,1
5185,3389,mediterranean,nordic,Mediterranean Pan Roasted Salmon,97.73,52.22,84.28,mediterranean Mediterranean Pan Roasted Salmon nordic,1,2,3
5261,3390,mediterranean,nordic,Easy Lemon Parmesan Baked Salmon,54.37,5.12,63.36,mediterranean Easy Lemon Parmesan Baked Salmon nordic,3,0,2
5282,3391,mediterranean,nordic,Easy Lemon Parmesan Baked Salmon Recipes,60.17,5.18,67.17,mediterranean Easy Lemon Parmesan Baked Salmon Recipes nordic,3,0,3
5314,3392,mediterranean,nordic,Mediterranean Salmon,71.42,18.31,153.77,mediterranean Mediterranean Salmon nordic,3,0,1
5369,3393,mediterranean,nordic,Salmon Mediterranean,146.51,256.79,100.11,mediterranean Salmon Mediterranean nordic,1,1,3
5860,3394,mediterranean,nordic,Mediterranean Salmon Burgers,76.28,24.09,48.76,mediterranean Mediterranean Salmon Burgers nordic,3,0,2
5996,3395,mediterranean,nordic,Poached Mediterranean Salmon,141.28,12.85,92.73,mediterranean Poached Mediterranean Salmon nordic,1,0,3
4625,3396,mediterranean,south american,Mediterranean Chicken Quinoa Bowl,133.61,112.72,99.29,mediterranean Mediterranean Chicken Quinoa Bowl south american,1,3,3
4689,3397,mediterranean,south american,Loaded Mediterranean Chicken-Quinoa Salad,43.45,38.05,30.13,mediterranean Loaded Mediterranean Chicken-Quinoa Salad south american,3,2,0
4837,3398,mediterranean,south american,Rouille,3.67,20.16,41.82,mediterranean Rouille south american,0,0,2
4898,3399,mediterranean,south american,White Bean Salad With Carrots And Tomatoes,51.11,151.17,43.07,mediterranean White Bean Salad With Carrots And Tomatoes south american,3,3,2
5045,3400,mediterranean,south american,Eggs Baked Over A Spicy Vegetable Ragout,46.52,78.19,41.24,mediterranean Eggs Baked Over A Spicy Vegetable Ragout south american,3,3,2
5251,3401,mediterranean,south american,Holiday Bark W/Toasted Quinoa Recipes,123.91,368.32,94.37,mediterranean Holiday Bark W/Toasted Quinoa Recipes south american,1,1,3
5708,3402,mediterranean,south american,Mediterranean Chicken Tostadas,42.61,82.49,48.25,mediterranean Mediterranean Chicken Tostadas south american,3,3,2
4648,3403,mediterranean,south east asian,Mediterranean Pressed Picnic Sandwich,124.61,62.55,91.28,mediterranean Mediterranean Pressed Picnic Sandwich south east asian,1,2,3
4752,3404,mediterranean,south east asian,Seared Fresh Sardines And Tomato Soup,50.03,136.55,157.33,mediterranean Seared Fresh Sardines And Tomato Soup south east asian,3,3,1
4845,3405,mediterranean,south east asian,Roasted Pepper Salad With Capers & Pine Nuts,8.51,39.76,53.35,mediterranean Roasted Pepper Salad With Capers & Pine Nuts south east asian,0,2,2
4884,3406,mediterranean,south east asian,Garbanzo Bean Stew With Escarole,45.16,133.63,14.41,mediterranean Garbanzo Bean Stew With Escarole south east asian,3,3,0
5083,3407,mediterranean,south east asian,Southeast Asian Carrot Salad With Mint And Roasted Peanuts,22.49,54.43,46.33,mediterranean Southeast Asian Carrot Salad With Mint And Roasted Peanuts south east asian,2,2,2
5744,3408,mediterranean,south east asian,Mediterranean Couscous Fritters,54.53,142.01,103.18,mediterranean Mediterranean Couscous Fritters south east asian,3,3,3
4819,3409,mediterranean,world,Gin Mare'S Red Tonic,0.17,19.3,0.06,mediterranean Gin Mare'S Red Tonic world,0,0,0
